Nombre:,Enrique,Rodriguez,Toscano,,,
Método,100,1_000,10_000,100_000,1_000_000
Burbuja,0.000576019287109375, 0.034136056900024414, 3.6179544925689697, 399.63062596321106, 0.0
Inserción,0.00019216537475585938, 0.016646623611450195, 1.5143203735351562, 206.0586154460907, 0.0
Selección,0.0004150867462158203, 0.020863056182861328, 1.589845895767212, 199.79087686538696, 0.0
CocktailSort,0.00025200843811035156, 0.044291019439697266, 3.3291144371032715, 628.7294344902039, 0.0
Quicksort,0.0002906322479248047, 0.0015375614166259766, 0.0169069766998291, 0.2334425449371338, 4.829335927963257
Merge sort,0.0001780986785888672, 0.0013344287872314453, 0.018795251846313477, 0.250946044921875, 3.4430840015411377
Heap sort,0.00045800209045410156, 0.0016672611236572266, 0.03065037727355957, 0.3826289176940918, 7.39335036277771
Comb sort,
Radix sort,0.0002090930938720703, 0.0012412071228027344, 0.01744556427001953, 0.27525949478149414, 0.0
Shell sort,
Random sort,X,X,X,X,X
